Circuit,Country,Laps,Length_km,DRS_Zones,Tire_Wear,Banking,Top_Speed_kmh
Bahrain International Circuit (Sakhir),Bahrain,57,5.412,3,High,No,330
Jeddah Corniche Circuit,Saudi Arabia,50,6.174,3,Medium,No,330
Albert Park Circuit (Melbourne),Australia,58,5.278,4,Medium,No,330
Suzuka International Racing Course,Japan,53,5.807,2,Medium-High,No,330
Shanghai International Circuit,China,56,5.451,2,Medium,No,327
Miami International Autodrome,USA,57,5.412,3,Medium,No,330
Autodromo Enzo e Dino Ferrari (Imola),Italy,63,4.909,2,Medium,No,325
Circuit de Monaco (Monte Carlo),Monaco,78,3.337,1,Low,No,300
Circuit Gilles Villeneuve (Montreal),Canada,70,4.361,3,Medium,No,340
Circuit de Barcelona‑Catalunya,Spain,66,4.657,2,Medium-High,No,322
Red Bull Ring (Spielberg),Austria,71,4.318,3,Medium,No,330
Silverstone Circuit,United Kingdom,52,5.891,2,Medium-High,No,330
Hungaroring,Hungary,70,4.381,2,High,No,320
Circuit de Spa‑Francorchamps,Belgium,44,7.004,2,Medium-High,No,350
Circuit Zandvoort,Netherlands,72,4.259,2,Medium-High,Yes (banked T3/T14),330
Autodromo Nazionale Monza,Italy,53,5.793,2,Low-Medium,No,360
Baku City Circuit,Azerbaijan,51,6.003,2,Medium,No,360
Marina Bay Street Circuit,Singapore,62,4.94,4,High,No,320
Circuit of The Americas (Austin),USA,56,5.513,2,Medium,No,330
Autódromo Hermanos Rodríguez (Mexico City),Mexico,71,4.304,3,Low-Medium,No,360
Autódromo José Carlos Pace (Interlagos),Brazil,71,4.309,2,Medium,No,330
Las Vegas Strip Circuit,USA,50,6.201,2,Low,No,345
Lusail International Circuit (Qatar),Qatar,57,5.419,2,High,No,330
Yas Marina Circuit (Abu Dhabi),UAE,58,5.281,3,Medium,No,330
